name,birth_date,age,gender,home_country,home_city,home_state,current_country,worth,industry,source,self_made,country_population,country_gdp,country_life_expectancy,country_tax_revenue,country_total_tax_rate,country_gross_primary_education,country_gross_tertiary_education,country_cpi,country_latitude,country_longitude
"Bernard Arnault",1949-03-05,74,Male,France,Paris,not-applicable,France,211000000000,"Fashion & Retail",LVMH,0,67059887,2715518274227,82.5,24.2,60.7,102.5,65.6,110.1,46.227638,2.213749
"Elon Musk",1971-06-28,51,Male,"United States",Austin,Texas,"United States",180000000000,Automotive,"Tesla, SpaceX",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Jeff Bezos",1964-01-12,59,Male,"United States",Medina,Washington,"United States",114000000000,Technology,Amazon,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Larry Ellison",1944-08-17,78,Male,"United States",Lanai,Hawaii,"United States",107000000000,Technology,Oracle,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Warren Buffett",1930-08-30,92,Male,"United States",Omaha,Nebraska,"United States",106000000000,"Finance & Investments","Berkshire Hathaway",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Bill Gates",1955-10-28,67,Male,"United States",Medina,Washington,"United States",104000000000,Technology,Microsoft,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Michael Bloomberg",1942-02-14,81,Male,"United States","New York","New York","United States",94500000000,"Media & Entertainment","Bloomberg LP",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Carlos Slim Helu",1940-01-28,83,Male,Mexico,"Mexico City",not-applicable,Mexico,93000000000,Telecom,Telecom,1,126014024,1258286717125,75.0,13.1,55.1,105.8,40.2,141.5,23.634501,-102.552784
"Mukesh Ambani",1957-04-19,65,Male,India,Mumbai,not-applicable,India,83400000000,Diversified,Diversified,0,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Steve Ballmer",1956-03-24,67,Male,"United States","Hunts Point",Washington,"United States",80700000000,Technology,Microsoft,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Francoise Bettencourt Meyers",1953-07-10,69,Female,France,Paris,not-applicable,France,80500000000,"Fashion & Retail",L'OrÃ©al,0,67059887,2715518274227,82.5,24.2,60.7,102.5,65.6,110.1,46.227638,2.213749
"Larry Page",1973-03-26,50,Male,"United States","Palo Alto",California,"United States",79200000000,Technology,Google,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Amancio Ortega",1936-03-28,87,Male,Spain,"La Coruna",not-applicable,Spain,77300000000,"Fashion & Retail",Zara,1,47076781,1394116310769,83.3,14.2,47.0,102.7,88.9,111.0,40.463667,-3.749220
"Sergey Brin",1973-08-21,49,Male,"United States","Los Altos",California,"United States",76000000000,Technology,Google,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Shanshan Zhong",1954-12-01,68,Male,China,Hangzhou,not-applicable,China,68000000000,"Food & Beverage","Beverages, pharmaceuticals",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Mark Zuckerberg",1984-05-14,38,Male,"United States","Palo Alto",California,"United States",64400000000,Technology,Facebook,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Charles Koch",1935-11-01,87,Male,"United States",Wichita,Kansas,"United States",59000000000,Diversified,"Koch Industries",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Julia Koch",1962-04-12,60,Female,"United States","New York","New York","United States",59000000000,Diversified,"Koch Industries",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Jim Walton",1948-06-07,74,Male,"United States",Bentonville,Arkansas,"United States",58800000000,"Fashion & Retail",Walmart,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Rob Walton",1944-10-27,78,Male,"United States",Bentonville,Arkansas,"United States",57600000000,"Fashion & Retail",Walmart,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Alice Walton",1949-10-07,73,Female,"United States","Fort Worth",Texas,"United States",56700000000,"Fashion & Retail",Walmart,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"David Thomson",1957-06-12,65,Male,Canada,Toronto,not-applicable,Canada,54400000000,"Media & Entertainment",Media,0,36991981,1736425629520,81.9,12.8,24.5,100.9,68.9,116.8,56.130366,-106.346771
"Michael Dell",1965-02-23,58,Male,"United States",Austin,Texas,"United States",50100000000,Technology,"Dell Technologies",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Gautam Adani",1962-06-24,60,Male,India,Ahmedabad,not-applicable,India,47200000000,Diversified,"Infrastructure, commodities",1,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Phil Knight",1938-02-24,85,Male,"United States",Hillsboro,Oregon,"United States",45100000000,"Fashion & Retail",Nike,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Yiming Zhang",1984-01-01,39,Male,China,Beijing,not-applicable,China,45000000000,Technology,TikTok,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Dieter Schwarz",1939-09-24,83,Male,Germany,Neckarsulm,not-applicable,Germany,42900000000,"Fashion & Retail",Retail,0,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"FranÃ§ois Pinault",1936-08-21,86,Male,France,Paris,not-applicable,France,40100000000,"Fashion & Retail","Luxury goods",1,67059887,2715518274227,82.5,24.2,60.7,102.5,65.6,110.1,46.227638,2.213749
"Klaus-Michael Kuehne",1937-06-02,85,Male,Switzerland,Schindellegi,not-applicable,Germany,39100000000,Logistics,Shipping,0,8574832,703082435360,83.6,10.1,28.8,105.2,59.6,99.6,46.818188,8.227512
"Giovanni Ferrero",1964-09-21,58,Male,Belgium,Brussels,not-applicable,Italy,38900000000,"Food & Beverage","Nutella, chocolates",0,11484055,529606710418,81.6,24.0,55.4,103.9,79.7,117.1,50.503887,4.469936
"Jacqueline Mars",1939-10-10,83,Female,"United States","The Plains",Virginia,"United States",38300000000,"Food & Beverage","Candy, pet food",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"John Mars",1935-10-15,87,Male,"United States",Jackson,Wyoming,"United States",38300000000,"Food & Beverage","Candy, pet food",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Ka-shing Li",1928-06-13,94,Male,"Hong Kong",unknown,not-applicable,"Hong Kong",38000000000,Diversified,Diversified,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Huateng Ma",1971-10-29,51,Male,China,Shenzhen,not-applicable,China,35300000000,Technology,"Internet media",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Miriam Adelson",1945-10-10,77,Female,"United States","Las Vegas",Nevada,"United States",35000000000,"Gambling & Casinos",Casinos,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Ken Griffin",1968-10-15,54,Male,"United States",Miami,Florida,"United States",35000000000,"Finance & Investments","Hedge funds",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Mark Mateschitz",1992-05-07,30,Male,Austria,Salzburg,not-applicable,Austria,34700000000,"Food & Beverage","Red Bull",0,8877067,446314739528,81.6,25.4,51.4,103.1,85.1,118.1,47.516231,14.550072
"Robin Zeng",1969-01-01,54,Male,China,Ningde,not-applicable,"Hong Kong",33400000000,Automotive,Batteries,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Tadashi Yanai",1949-02-07,74,Male,Japan,Tokyo,not-applicable,Japan,32600000000,"Fashion & Retail","Fashion retail",1,126226568,5081769542380,84.2,11.9,46.7,98.8,63.2,105.5,36.204824,138.252924
"Len Blavatnik",1957-06-01,65,Male,"United Kingdom",London,not-applicable,"United States",32100000000,Diversified,"Music, chemicals",1,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
"Alain Wertheimer",1948-08-28,74,Male,"United States","New York","New York",France,31600000000,"Fashion & Retail",Chanel,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Gerard Wertheimer",1951-01-09,72,Male,"United States","New York","New York",France,31600000000,"Fashion & Retail",Chanel,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Gianluigi Aponte",1940-06-27,82,Male,Switzerland,Geneva,not-applicable,Switzerland,31200000000,Logistics,Shipping,1,8574832,703082435360,83.6,10.1,28.8,105.2,59.6,99.6,46.818188,8.227512
"Rafaela Aponte-Diamant",1945-03-26,78,Female,Switzerland,Geneva,not-applicable,Switzerland,31200000000,Logistics,Shipping,1,8574832,703082435360,83.6,10.1,28.8,105.2,59.6,99.6,46.818188,8.227512
"Colin Zheng Huang",1980-02-02,43,Male,China,Shanghai,not-applicable,China,30200000000,Technology,E-commerce,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Reinhold Wuerth",1935-04-20,87,Male,Germany,Kuenzelsau,not-applicable,Germany,29700000000,Manufacturing,Fasteners,1,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"Shau Kee Lee",1928-01-29,95,Male,"Hong Kong","Hong Kong",not-applicable,"Hong Kong",29500000000,"Real Estate","Real estate",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jeff Yass",1958-07-17,64,Male,"United States",Haverford,Pennsylvania,"United States",28500000000,"Finance & Investments","Trading, investments",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Jim Simons",1938-04-25,84,Male,"United States","East Setauket","New York","United States",28100000000,"Finance & Investments","Hedge funds",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Stephen Schwarzman",1947-02-14,76,Male,"United States","New York","New York","United States",27800000000,"Finance & Investments",Investments,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Susanne Klatten",1962-04-28,60,Female,Germany,"Bad Homburg",not-applicable,Germany,27400000000,Automotive,"BMW, pharmaceuticals",0,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"Gina Rinehart",1954-02-09,69,Female,Australia,Perth,not-applicable,Australia,27000000000,"Metals & Mining",Mining,0,25766605,1392680589329,82.7,23.0,47.4,100.3,113.1,119.8,-25.274398,133.775136
"William Ding",1971-10-01,51,Male,China,Hangzhou,not-applicable,China,26700000000,Technology,"Online games",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"GermÃ¡n Larrea Mota Velasco",1953-10-26,69,Male,Mexico,"Mexico City",not-applicable,Mexico,26600000000,"Metals & Mining",Mining,0,126014024,1258286717125,75.0,13.1,55.1,105.8,40.2,141.5,23.634501,-102.552784
"Shiv Nadar",1945-07-18,77,Male,India,Delhi,not-applicable,India,25600000000,Technology,"software services",1,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Kwong Low Tuck",1948-04-17,74,Male,Indonesia,Jakarta,not-applicable,Indonesia,25500000000,Energy,Coal,1,270203917,1119190780753,71.5,10.2,30.1,106.4,36.3,151.2,-0.789275,113.921327
"Thomas Peterffy",1944-09-30,78,Male,"United States","Palm Beach",Florida,"United States",25300000000,"Finance & Investments","Discount brokerage",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Andrey Melnichenko",1972-03-08,51,Male,"United Arab Emirates","Ras Al Khaimah",not-applicable,Russia,25200000000,"Metals & Mining","Fertilizers, coal",1,9770529,421142267938,77.8,0.1,15.9,108.4,36.8,114.5,23.424076,53.847818
"Stefan Quandt",1966-05-09,56,Male,Germany,Frankfurt,not-applicable,Germany,24600000000,Automotive,BMW,0,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"MacKenzie Scott",1970-04-07,52,Female,"United States",Seattle,Washington,"United States",24400000000,Technology,Amazon,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"R. Budi Hartono",1941-01-01,82,Male,Indonesia,Kudus,not-applicable,Indonesia,24200000000,"Finance & Investments","Banking, tobacco",0,270203917,1119190780753,71.5,10.2,30.1,106.4,36.3,151.2,-0.789275,113.921327
"Vladimir Potanin",1961-01-03,62,Male,Russia,Moscow,not-applicable,Russia,23700000000,"Metals & Mining",Metals,1,144373535,1699876578871,72.7,11.4,46.2,102.6,81.9,180.8,61.524010,105.318756
"Jack Ma",1964-09-10,58,Male,China,Hangzhou,not-applicable,China,23500000000,Technology,E-commerce,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Xiangjian He",1942-08-11,80,Male,China,Foshan,not-applicable,China,23400000000,Manufacturing,"Home appliances",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Iris Fontbona",1943-01-01,80,Female,Chile,Santiago,not-applicable,Chile,23100000000,"Metals & Mining",Mining,0,18952038,282318159745,80.0,18.2,34.0,101.4,88.5,131.9,-35.675147,-71.542969
"Michael Hartono",1939-10-02,83,Male,Indonesia,Kudus,not-applicable,Indonesia,23100000000,Manufacturing,"Banking, tobacco",0,270203917,1119190780753,71.5,10.2,30.1,106.4,36.3,151.2,-0.789275,113.921327
"James Ratcliffe",1953-01-01,70,Male,"United Kingdom",London,not-applicable,"United Kingdom",22900000000,Manufacturing,Chemicals,1,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
"Cyrus Poonawalla",1941-05-11,81,Male,India,Pune,not-applicable,India,22600000000,Healthcare,Vaccines,0,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Masayoshi Son",1957-08-11,65,Male,Japan,Tokyo,not-applicable,Japan,22400000000,Telecom,"Internet, telecom",1,126226568,5081769542380,84.2,11.9,46.7,98.8,63.2,105.5,36.204824,138.252924
"Vladimir Lisin",1956-05-07,66,Male,Russia,Moscow,not-applicable,Russia,22100000000,"Metals & Mining","Steel, transport",1,144373535,1699876578871,72.7,11.4,46.2,102.6,81.9,180.8,61.524010,105.318756
"Emmanuel Besnier",1970-09-18,52,Male,France,Laval,not-applicable,France,22000000000,"Food & Beverage",Cheese,0,67059887,2715518274227,82.5,24.2,60.7,102.5,65.6,110.1,46.227638,2.213749
"Abigail Johnson",1961-12-19,61,Female,"United States",Milton,Massachusetts,"United States",21600000000,"Finance & Investments",Fidelity,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Leonid Mikhelson",1955-08-11,67,Male,Russia,Moscow,not-applicable,Russia,21600000000,Energy,"Gas, chemicals",1,144373535,1699876578871,72.7,11.4,46.2,102.6,81.9,180.8,61.524010,105.318756
"Lukas Walton",1986-09-19,36,Male,"United States",Chicago,Illinois,"United States",21200000000,"Fashion & Retail",Walmart,0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Wei Wang",1970-10-01,52,Male,China,Shenzhen,not-applicable,China,21200000000,Service,"Package delivery",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Jensen Huang",1963-02-17,60,Male,"United States","Los Altos",California,"United States",21100000000,Technology,Semiconductors,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Leonard Lauder",1933-03-19,90,Male,"United States","New York","New York","United States",21000000000,"Fashion & Retail","Estee Lauder",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Takemitsu Takizaki",1945-06-10,77,Male,Japan,Osaka,not-applicable,Japan,21000000000,Manufacturing,Sensors,1,126226568,5081769542380,84.2,11.9,46.7,98.8,63.2,105.5,36.204824,138.252924
"Alexey Mordashov",1965-09-26,57,Male,Russia,Moscow,not-applicable,Russia,20900000000,"Metals & Mining","Steel, investments",1,144373535,1699876578871,72.7,11.4,46.2,102.6,81.9,180.8,61.524010,105.318756
"Vagit Alekperov",1950-09-01,72,Male,Russia,Moscow,not-applicable,Russia,20500000000,Energy,Oil,1,144373535,1699876578871,72.7,11.4,46.2,102.6,81.9,180.8,61.524010,105.318756
"Thomas Frist",1938-08-12,84,Male,"United States",Nashville,Tennessee,"United States",20200000000,Healthcare,Hospitals,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Andrew Forrest",1961-11-18,61,Male,Australia,Perth,not-applicable,Australia,19600000000,"Metals & Mining",Mining,1,25766605,1392680589329,82.7,23.0,47.4,100.3,113.1,119.8,-25.274398,133.775136
"Ray Dalio",1949-08-08,73,Male,"United States",Greenwich,Connecticut,"United States",19100000000,"Finance & Investments","Hedge funds",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Eric Li",1963-06-01,59,Male,China,Hangzhou,not-applicable,China,19000000000,Automotive,Automobiles,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Wenyin Wang",1968-03-01,55,Male,China,Shenzhen,not-applicable,China,19000000000,"Metals & Mining","Mining, copper products",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Eyal Ofer",1950-06-02,72,Male,Monaco,"Monte Carlo",not-applicable,Israel,18900000000,Diversified,"Real estate, shipping",0,38964,7184844193,NULL,NULL,NULL,NULL,NULL,NULL,43.738418,7.424616
"Yinglin Qin",1965-04-17,57,Male,China,Nanyang,not-applicable,China,18900000000,"Food & Beverage","Pig breeding",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Chuanfu Wang",1966-02-15,57,Male,China,Shenzhen,not-applicable,China,18700000000,Automotive,"Batteries, automobiles",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Harold Hamm",1945-12-11,77,Male,"United States","Oklahoma City",Oklahoma,"United States",18500000000,Energy,"Oil & gas",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"David Tepper",1957-09-11,65,Male,"United States","Palm Beach",Florida,"United States",18500000000,"Finance & Investments","Hedge funds",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Gennady Timchenko",1952-11-09,70,Male,Russia,Moscow,not-applicable,Russia,18500000000,Energy,"Oil, gas",1,144373535,1699876578871,72.7,11.4,46.2,102.6,81.9,180.8,61.524010,105.318756
"Daniel Gilbert",1962-01-17,61,Male,"United States",Franklin,Michigan,"United States",18000000000,"Finance & Investments","Quicken Loans",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Lakshmi Mittal",1950-06-15,72,Male,"United Kingdom",London,not-applicable,India,17700000000,"Metals & Mining",Steel,0,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
"Steve Cohen",1956-06-11,66,Male,"United States",Greenwich,Connecticut,"United States",17500000000,"Finance & Investments","Hedge funds",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Carl Icahn",1936-02-16,87,Male,"United States","Indian Creek",Florida,"United States",17500000000,"Finance & Investments",Investments,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Savitri Jindal",1950-03-20,73,Female,India,Hisar,not-applicable,India,17500000000,"Metals & Mining",Steel,0,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Donald Bren",1932-05-11,90,Male,"United States","Newport Beach",California,"United States",17400000000,"Real Estate","Real estate",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"John Menard",1940-01-22,83,Male,"United States","Eau Claire",Wisconsin,"United States",17400000000,"Fashion & Retail","Home improvement stores",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Rupert Murdoch",1931-03-11,92,Male,"United States","New York","New York","United States",17100000000,"Media & Entertainment","Newspapers, TV network",0,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Vicky Safra",1953-01-01,70,Female,Switzerland,Crans-Montana,not-applicable,Brazil,16700000000,"Finance & Investments",Banking,0,8574832,703082435360,83.6,10.1,28.8,105.2,59.6,99.6,46.818188,8.227512
"Theo Albrecht",1951-01-01,72,Male,Germany,"Mulheim an der Ruhr",not-applicable,Germany,16500000000,"Fashion & Retail","Aldi, Trader Joe's",0,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"Renata Kellnerova",1967-07-04,55,Female,"Czech Republic",Prague,not-applicable,"Czech Republic",16500000000,"Finance & Investments","Finance, telecommunications",0,10669709,246489245495,79.0,14.9,46.1,100.7,64.1,116.5,49.817492,15.472962
"Xiting Li",1951-01-01,72,Male,China,Shenzhen,not-applicable,Singapore,16300000000,Healthcare,"medical devices",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Stefan Persson",1947-10-04,75,Male,Sweden,Stockholm,not-applicable,Sweden,16200000000,"Fashion & Retail",H&M,0,10285453,530832908738,82.5,27.9,49.1,126.6,67.0,110.5,60.128161,18.643501
"Eric Schmidt",1955-04-27,67,Male,"United States",Atherton,California,"United States",16200000000,Technology,Google,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Michael Platt",1968-03-18,55,Male,Switzerland,Geneva,not-applicable,"United Kingdom",16000000000,"Finance & Investments","Hedge funds",1,8574832,703082435360,83.6,10.1,28.8,105.2,59.6,99.6,46.818188,8.227512
"Kang Pang",1956-01-19,67,Male,China,Foshan,not-applicable,China,15900000000,"Food & Beverage","Soy sauce",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Karl Albrecht Jr.",1960-03-29,65,Male,Germany,unknown,not-applicable,Germany,15800000000,"Fashion & Retail",Supermarkets,0,83132799,3845630030824,80.9,11.5,48.8,104.0,70.2,112.9,51.165691,10.451526
"Beate Heister",1960-03-29,65,Female,unknown,unknown,not-applicable,Germany,15800000000,"Fashion & Retail",Supermarkets,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jorge Paulo Lemann",1939-08-26,83,Male,Switzerland,Zurich,not-applicable,Brazil,15800000000,"Food & Beverage",Beer,1,8574832,703082435360,83.6,10.1,28.8,105.2,59.6,99.6,46.818188,8.227512
"Peter Woo",1946-09-05,76,Male,"Hong Kong","Hong Kong",not-applicable,"Hong Kong",15800000000,"Real Estate","Real estate",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dilip Shanghvi",1955-10-01,67,Male,India,Mumbai,not-applicable,India,15600000000,Healthcare,Pharmaceuticals,1,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Robert Pera",1978-03-10,45,Male,"United States","San Jose",California,"United States",15500000000,Technology,"Wireless networking",1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Radhakishan Damani",1955-01-01,68,Male,India,Mumbai,not-applicable,India,15300000000,"Fashion & Retail","Retail, investments",1,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Shilin Huang",1967-01-01,56,Male,China,Ningde,not-applicable,China,15200000000,Automotive,Batteries,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Dhanin Chearavanont",1939-04-19,83,Male,Thailand,Bangkok,not-applicable,Thailand,14900000000,Diversified,Diversified,0,69625582,543649976166,76.9,14.9,29.5,99.8,49.3,113.3,15.870032,100.992541
"David Green",1941-11-13,81,Male,"United States","Oklahoma City",Oklahoma,"United States",14900000000,"Fashion & Retail",Retail,1,328239523,21427700000000,78.5,9.6,36.6,101.8,88.2,117.2,37.090240,-95.712891
"Charoen Sirivadhanabhakdi",1944-05-02,78,Male,Thailand,Bangkok,not-applicable,Thailand,14800000000,"Food & Beverage","Alcohol, real estate",1,69625582,543649976166,76.9,14.9,29.5,99.8,49.3,113.3,15.870032,100.992541
"Charlene de Carvalho-Heineken",1954-06-30,68,Female,"United Kingdom",London,not-applicable,Netherlands,14700000000,"Food & Beverage",Heineken,0,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
"Hang Xu",1962-05-22,60,Male,China,Shenzhen,not-applicable,"Hong Kong",14600000000,Healthcare,"Medical devices",1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Jianjun Wei",1964-03-01,59,Male,China,Baoding,not-applicable,China,14500000000,Automotive,Automobiles,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Alisher Usmanov",1953-09-09,69,Male,Uzbekistan,Tashkent,not-applicable,Russia,14400000000,"Metals & Mining","Steel, telecom, investments",1,33580650,57921286440,71.6,14.8,31.6,104.2,10.1,NULL,41.377491,64.585262
"Cheng Liang Goh",1927-06-27,95,Male,Singapore,Singapore,not-applicable,Singapore,14300000000,Manufacturing,Paints,1,5703569,372062527489,83.1,13.1,21.0,100.6,84.8,114.4,1.352083,103.819836
"Kumar Birla",1967-06-14,55,Male,India,Mumbai,not-applicable,India,14200000000,Diversified,Commodities,0,1366417754,2611000000000,69.4,11.2,49.7,113.0,28.1,180.4,20.593684,78.962880
"Aliko Dangote",1957-04-10,65,Male,Nigeria,Lagos,not-applicable,Nigeria,14200000000,Manufacturing,"Cement, sugar",1,200963599,448120428859,54.3,1.5,34.8,84.7,10.2,267.5,9.081999,8.675277
"Siu-hing Kwong",1929-12-02,93,Female,"Hong Kong","Hong Kong",not-applicable,"Hong Kong",14100000000,"Real Estate","Real estate",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Idan Ofer",1955-10-02,67,Male,"United Kingdom",London,not-applicable,Israel,14000000000,Diversified,Shipping,0,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
"Bang Chen",1965-09-01,57,Male,China,Changsha,not-applicable,China,13900000000,Healthcare,Hospitals,1,1397715000,19910000000000,77.0,9.4,59.2,100.2,50.6,125.1,35.861660,104.195397
"Che Woo Lui",1929-04-01,94,Male,"Hong Kong","Hong Kong",not-applicable,"Hong Kong",13900000000,"Gambling & Casinos",Casinos/hotels,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"John Fredriksen",1945-02-01,78,Male,"United Kingdom",London,not-applicable,Cyprus,13700000000,Logistics,Shipping,1,66834405,2827113184696,81.3,25.5,30.6,101.2,60.0,119.6,55.378051,-3.435973
